Tw, K	dTliq, K	P, atm.	Ts, K	L, m	Rw, kg/m3	Cw, J/kg/K	Kw, W/m/K	Rl, kg/m3	Cl, J/kg/K	Kl, W/m/K	Ll, Pa*sec	Q, N/m	dH, J/kg	Tlim, K
4,341400E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	1,934437E+4	1,298458E+2	3,234400E+2	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
4,634980E+2	7,845683E+1	3,000000E+0	3,816168E+2	2,500000E-2	1,934437E+4	1,298458E+2	3,234400E+2	7,683917E+2	3,131805E+3	1,635722E-1	5,758231E-4	1,221985E-2	8,156802E+5	4,552949E+2
4,730400E+2	9,518899E+1	5,000000E+0	3,983490E+2	2,500000E-2	1,934437E+4	1,298458E+2	3,234400E+2	7,597735E+2	3,218704E+3	1,617942E-1	5,020563E-4	1,032433E-2	7,761304E+5	4,572756E+2
4,689360E+2	7,518899E+1	5,000000E+0	3,983490E+2	2,500000E-2	1,934437E+4	1,298458E+2	3,234400E+2	7,488631E+2	3,318569E+3	1,595670E-1	4,290784E-4	1,032433E-2	7,761304E+5	4,572756E+2
4,588470E+2	5,845683E+1	3,000000E+0	3,816168E+2	2,500000E-2	1,934437E+4	1,298458E+2	3,234400E+2	7,580337E+2	3,235306E+3	1,614382E-1	4,890923E-4	1,221985E-2	8,156802E+5	4,552949E+2
4,155140E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	1,934437E+4	1,298458E+2	3,234400E+2	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
7,026970E+2	6,788902E+1	2,000000E+0	3,930490E+2	2,500000E-2	1,923984E+4	1,306262E+2	3,123463E+2	9,690586E+2	4,200628E+3	6,722414E-1	3,278447E-4	5,497318E-2	2,207031E+6	5,637482E+2
7,096260E+2	8,119933E+1	3,000000E+0	4,063593E+2	2,500000E-2	1,923984E+4	1,306262E+2	3,123463E+2	9,648524E+2	4,207345E+3	6,758292E-1	3,039658E-4	5,226090E-2	2,167562E+6	5,641295E+2
7,457820E+2	7,319933E+1	3,000000E+0	4,063593E+2	2,500000E-2	1,923984E+4	1,306262E+2	3,123463E+2	9,621814E+2	4,211812E+3	6,777000E-1	2,910951E-4	5,226090E-2	2,167562E+6	5,641295E+2
7,304260E+2	3,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	1,923984E+4	1,306262E+2	3,123463E+2	9,727268E+2	4,195145E+3	6,683285E-1	3,534823E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,096340E+2	1,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	1,923984E+4	1,306262E+2	3,123463E+2	9,667122E+2	4,204325E+3	6,743478E-1	3,139132E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,808020E+2	5,319933E+1	3,000000E+0	4,063593E+2	2,500000E-2	1,923984E+4	1,306262E+2	3,123463E+2	9,550400E+2	4,224430E+3	6,814725E-1	2,629440E-4	5,226090E-2	2,167562E+6	5,641295E+2
6,017860E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
6,375300E+2	7,845683E+1	3,000000E+0	3,816168E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,683917E+2	3,131805E+3	1,635722E-1	5,758231E-4	1,221985E-2	8,156802E+5	4,552949E+2
5,816230E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
6,338390E+2	5,845683E+1	3,000000E+0	3,816168E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,580337E+2	3,235306E+3	1,614382E-1	4,890923E-4	1,221985E-2	8,156802E+5	4,552949E+2
5,555700E+2	6,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,912657E+2	2,848474E+3	1,686630E-1	9,037466E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,446000E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,231150E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
6,820710E+2	1,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	7,752499E+3	5,362006E+2	2,096975E+1	9,667122E+2	4,204325E+3	6,743478E-1	3,139132E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,814920E+2	9,429855E+0	1,000000E+0	3,725899E+2	2,500000E-2	7,752499E+3	5,362006E+2	2,096975E+1	9,634532E+2	4,209667E+3	6,768448E-1	2,970322E-4	5,900277E-2	2,262707E+6	5,633670E+2
5,311380E+2	1,477072E+2	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	8,205331E+2	2,368953E+3	1,775837E-1	2,120993E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,325670E+2	1,277072E+2	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	8,132103E+2	2,488027E+3	1,750340E-1	1,677716E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,344150E+2	1,077072E+2	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	8,061877E+2	2,609127E+3	1,727596E-1	1,348004E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,253860E+2	8,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,989812E+2	2,729892E+3	1,706638E-1	1,097506E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,226010E+2	6,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,912657E+2	2,848474E+3	1,686630E-1	9,037466E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,114670E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
4,992600E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	7,808348E+3	5,062802E+2	1,849845E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
7,369840E+2	2,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	7,752499E+3	5,362006E+2	2,096975E+1	9,698032E+2	4,199484E+3	6,715121E-1	3,326337E-4	5,900277E-2	2,262707E+6	5,633670E+2
5,935290E+2	1,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	7,752499E+3	5,362006E+2	2,096975E+1	9,667122E+2	4,204325E+3	6,743478E-1	3,139132E-4	5,900277E-2	2,262707E+6	5,633670E+2
